INFO 2025-09-24 18:00:39,663 autoreload 19484 1340 Watching for file changes with StatReloader
WARNING 2025-09-25 07:31:09,461 log 31280 27772 Not Found: /favicon.ico
WARNING 2025-09-25 07:31:09,462 basehttp 31280 27772 "GET /favicon.ico HTTP/1.1" 404 2751
WARNING 2025-09-25 07:31:09,724 log 31280 30960 Not Found: /manifest.json
WARNING 2025-09-25 07:31:09,725 basehttp 31280 30960 "GET /manifest.json HTTP/1.1" 404 2757
WARNING 2025-09-25 07:31:17,713 log 31280 31064 Not Found: /
WARNING 2025-09-25 07:31:17,714 basehttp 31280 31064 "GET / HTTP/1.1" 404 2700
INFO 2025-09-25 07:31:25,729 basehttp 31280 5388 "GET /admin HTTP/1.1" 301 0
INFO 2025-09-25 07:31:25,756 basehttp 31280 28168 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-09-25 07:31:25,877 basehttp 31280 28168 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4214
INFO 2025-09-25 07:31:26,242 basehttp 31280 28168 "GET /static/admin/css/base.css HTTP/1.1" 200 21207
INFO 2025-09-25 07:31:26,255 basehttp 31280 2324 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
INFO 2025-09-25 07:31:26,257 basehttp 31280 28168 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
INFO 2025-09-25 07:31:26,262 basehttp 31280 2324 "GET /static/admin/css/login.css HTTP/1.1" 200 958
INFO 2025-09-25 07:31:26,267 basehttp 31280 28168 "GET /static/admin/css/responsive.css HTTP/1.1" 200 18533
INFO 2025-09-25 07:31:26,273 basehttp 31280 37244 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-09-25 07:31:26,276 basehttp 31280 2324 "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
INFO 2025-09-25 07:31:34,135 basehttp 31280 15752 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4402
WARNING 2025-09-25 07:32:03,217 log 31280 7596 Not Found: /manifest.json
WARNING 2025-09-25 07:32:03,217 basehttp 31280 7596 "GET /manifest.json HTTP/1.1" 404 2757
INFO 2025-09-25 07:33:00,346 basehttp 31280 33256 "OPTIONS /api/v1/auth/login HTTP/1.1" 200 0
WARNING 2025-09-25 07:33:00,358 log 31280 33256 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:33:00,360 basehttp 31280 33256 "POST /api/v1/auth/login HTTP/1.1" 404 3461
INFO 2025-09-25 07:33:21,967 autoreload 38464 21120 Watching for file changes with StatReloader
WARNING 2025-09-25 07:33:26,244 log 31280 2552 Not Found: /manifest.json
WARNING 2025-09-25 07:33:26,245 basehttp 31280 2552 "GET /manifest.json HTTP/1.1" 404 2757
WARNING 2025-09-25 07:33:32,368 log 31280 25460 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:33:32,368 basehttp 31280 25460 "POST /api/v1/auth/login HTTP/1.1" 404 3461
WARNING 2025-09-25 07:33:42,869 log 31280 19764 Not Found: /api/v1/auth/login
